id,Name,Ratings,rating,Rating_Description,Reviews,Star_Rating,Location,Nearest_Landmark,Distance_to_Landmark,Price,Tax,Total amt,Amount
1,The Park Kolkata,3.9,4,Very Good,7647,5,New Market Area ,Park Street,210 m ,"4,207",886,"5,093",5093
2,"Zone By The Park, Kolkata",3.8,4,Very Good,8656,5,New Town,,,"3,915",926,"4,841",4841
3,JW Marriott Hotel Kolkata,4.4,4,Excellent,1527,5,Tangra,,,"7,800",0,"7,800",7800
4,ibis Kolkata Rajarhat - An Accor Brand,3.9,4,Very Good,2355,4,New Town,,,"2,220",0,"2,220",2220
5,The Lalit Great Eastern Kolkata,4.2,4,Very Good,2486,5,Bow Barracks ,Eden Gardens,970 m ,"6,365",764,"7,129",7129
6,ITC Royal Bengal - A Luxury Collection Hotel,4.5,5,Excellent,3849,5,Tangra,,,"8,925",0,"8,925",8925
7,"Lemon Tree Premier, New Town, Kolkata",4.2,4,Very Good,3026,5,New Town,,,"2,156",782,"2,938",2938
8,Novotel Kolkata Hotel and Residences,4.1,4,Very Good,2827,5,New Town,,,"5,060",0,"5,060",5060
9,All Fresco Hotel,3.7,4,Very Good,688,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.6 km ,"1,637",483,"2,120",2120
10,Regenta Orko's Kolkata,3.9,4,Very Good,2055,4,Kasba ,Acropolis Mall,680 m ,"3,321",449,"3,770",3770
11,"Holiday Inn Express, Kolkata Airport",4.1,4,Very Good,1655,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"4,099",0,"4,099",4099
12,Himalayan Inn Guest House - Near TCS Gitobitan,3.3,3,Good,534,,Salt Lake City,,,724,257,981,981
13,Holiday Inn Kolkata Airport,4.1,4,Very Good,2486,5,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"4,600",0,"4,600",4600
14,"Taj City Centre New Town, Kolkata",4.4,4,Excellent,1556,5,Rajarhat ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"5,650",0,"5,650",5650
15,"Vivanta Kolkata, EM Bypass",4.4,4,Excellent,2031,5,East Kolkata Township,,,"5,500",0,"5,500",5500
16,Hyatt Regency Kolkata,4.2,4,Very Good,1426,5,Salt Lake City ,Salt Lake Stadium,740 m ,"5,780",694,"6,474",6474
17,"Bandhan Residency
Like a 3",3.7,4,Very Good,460,,Kaikhali ,Netaji Subhash Chandra Bose International Airport,3.0 km ,"1,102",350,"1,452",1452
18,The Oberoi Grand,4.7,5,Excellent,1268,5,New Market Area ,Park Street,930 m ,"8,000",0,"8,000",8000
19,"Fairfield by Marriott, Kolkata",4.1,4,Very Good,2332,4,New Town,,,"2,499",0,"2,499",2499
20,Ethnotel,4,4,Very Good,3211,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"2,949",621,"3,570",3570
21,Backpackers Park Hostel @ParkStreet,3.8,4,Very Good,417,,New Market Area ,Park Street,150 m ,893,209,"1,102",1102
22,THE WESTIN KOLKATA RAJARHAT,4.4,4,Excellent,2067,5,New Town ,Netaji Subhash Chandra Bose International Airport,9.3 km ,"5,699",0,"5,699",5699
23,"Taj Bengal, Kolkata",4.6,5,Excellent,1165,5,Alipore,,,"8,000",0,"8,000",8000
24,Hotel Senses,3.9,4,Very Good,1943,4,Salt Lake City ,Salt Lake Sec V,900 m ,"3,716","1,016","4,732",4732
25,ITC Sonar - A Luxury Collection Hotel,4.4,4,Excellent,2325,5,Tangra,,,"7,225",0,"7,225",7225
26,Kenilworth Hotel,4.3,4,Excellent,669,4,Park Street Area,,,"6,054",727,"6,781",6781
27,The Peerless Inn,3.9,4,Very Good,3539,4,Near Howrah Train Station ,Eden Gardens,770 m ,"4,186",855,"5,041",5041
28,De Sovrani,3.9,4,Very Good,1260,4,Salt Lake City,,,"2,916",690,"3,606",3606
29,"Pride Plaza Hotel, Kolkata",3.9,4,Very Good,1861,5,New Town,,,"2,800",336,"3,136",3136
30,"City Central Hostel, Kolkata",4.6,5,Excellent,77,,Kolkata ,Dharamtala Market,980 m ,736,198,934,934
